Age,Gender,Avg_Daily_Screen_Time_hr,Primary_Device,Exceeded_Recommended_Limit,Educational_to_Recreational_Ratio,Health_Impacts,Urban_or_Rural,age_group,screen_time_hours,sleep_affected
14,Male,3.99,Smartphone,True,0.42,"Poor Sleep, Eye Strain",Urban,13-17 (Teen),3.99,1
11,Female,4.61,Laptop,True,0.3,Poor Sleep,Urban,8-12 (Pre-teen),4.61,1
18,Female,3.73,TV,True,0.32,Poor Sleep,Urban,18-29 (Young Adult),3.73,1
15,Female,1.21,Laptop,False,0.39,,Urban,13-17 (Teen),1.21,0
12,Female,5.89,Smartphone,True,0.49,"Poor Sleep, Anxiety",Urban,8-12 (Pre-teen),5.89,1
14,Female,4.88,Smartphone,True,0.44,Poor Sleep,Urban,13-17 (Teen),4.88,1
17,Male,2.97,TV,False,0.48,,Rural,13-17 (Teen),2.97,0
10,Male,2.74,TV,True,0.54,,Urban,8-12 (Pre-teen),2.74,0
14,Male,4.61,Laptop,True,0.36,"Poor Sleep, Anxiety",Rural,13-17 (Teen),4.61,1
18,Male,3.24,Tablet,True,0.48,"Poor Sleep, Obesity Risk",Urban,18-29 (Young Adult),3.24,1
18,Male,3.53,Tablet,True,0.44,Poor Sleep,Rural,18-29 (Young Adult),3.53,1
15,Female,4.94,TV,True,0.36,Poor Sleep,Rural,13-17 (Teen),4.94,1
12,Male,4.59,Smartphone,True,0.43,Poor Sleep,Urban,8-12 (Pre-teen),4.59,1
11,Male,6.08,TV,True,0.48,Eye Strain,Rural,8-12 (Pre-teen),6.08,0
15,Male,6.15,Smartphone,True,0.4,Poor Sleep,Urban,13-17 (Teen),6.15,1
15,Female,3.69,Smartphone,True,0.34,Poor Sleep,Urban,13-17 (Teen),3.69,1
10,Female,7.1,Smartphone,True,0.43,"Poor Sleep, Eye Strain",Rural,8-12 (Pre-teen),7.1,1
13,Female,6.98,Smartphone,True,0.48,Obesity Risk,Urban,13-17 (Teen),6.98,0
12,Male,3.82,Smartphone,True,0.4,Anxiety,Urban,8-12 (Pre-teen),3.82,0
9,Female,0.0,TV,False,0.42,,Urban,8-12 (Pre-teen),0.0,0
15,Male,3.85,Smartphone,True,0.49,Obesity Risk,Urban,13-17 (Teen),3.85,0
13,Female,4.05,Smartphone,True,0.33,Eye Strain,Urban,13-17 (Teen),4.05,0
9,Female,1.63,Tablet,False,0.58,,Urban,8-12 (Pre-teen),1.63,0
12,Female,6.78,TV,True,0.33,Eye Strain,Urban,8-12 (Pre-teen),6.78,0
8,Male,3.19,Tablet,True,0.54,"Poor Sleep, Anxiety, Obesity Risk",Urban,8-12 (Pre-teen),3.19,1
17,Male,4.96,Smartphone,True,0.32,,Urban,13-17 (Teen),4.96,0
13,Female,1.85,Smartphone,False,0.49,,Urban,13-17 (Teen),1.85,0
16,Male,4.22,Smartphone,True,0.5,Poor Sleep,Urban,13-17 (Teen),4.22,1
8,Male,0.31,Smartphone,False,0.51,,Urban,8-12 (Pre-teen),0.31,0
18,Male,5.13,TV,True,0.43,"Poor Sleep, Obesity Risk",Urban,18-29 (Young Adult),5.13,1
18,Male,4.45,Smartphone,True,0.48,Eye Strain,Urban,18-29 (Young Adult),4.45,0
17,Female,3.02,Smartphone,True,0.39,,Rural,13-17 (Teen),3.02,0
10,Male,2.16,Tablet,True,0.41,,Urban,8-12 (Pre-teen),2.16,0
14,Male,4.28,Smartphone,True,0.34,Eye Strain,Rural,13-17 (Teen),4.28,0
11,Female,5.34,Smartphone,True,0.4,"Poor Sleep, Eye Strain",Urban,8-12 (Pre-teen),5.34,1
16,Female,3.5,Laptop,True,0.4,"Eye Strain, Obesity Risk",Rural,13-17 (Teen),3.5,0
10,Male,11.68,TV,True,0.47,Poor Sleep,Urban,8-12 (Pre-teen),11.68,1
12,Female,1.63,Smartphone,False,0.5,,Urban,8-12 (Pre-teen),1.63,0
10,Male,4.63,Smartphone,True,0.47,Poor Sleep,Urban,8-12 (Pre-teen),4.63,1
14,Male,4.21,TV,True,0.38,Poor Sleep,Urban,13-17 (Teen),4.21,1
12,Male,4.56,Smartphone,True,0.5,"Poor Sleep, Eye Strain",Urban,8-12 (Pre-teen),4.56,1
16,Female,3.51,TV,True,0.44,"Poor Sleep, Anxiety",Urban,13-17 (Teen),3.51,1
14,Female,4.69,Smartphone,True,0.35,"Poor Sleep, Eye Strain",Urban,13-17 (Teen),4.69,1
9,Male,7.61,TV,True,0.5,Poor Sleep,Urban,8-12 (Pre-teen),7.61,1
11,Male,2.75,Smartphone,False,0.35,,Rural,8-12 (Pre-teen),2.75,0
16,Male,6.74,TV,True,0.42,"Eye Strain, Anxiety, Obesity Risk",Urban,13-17 (Teen),6.74,0
9,Female,0.0,Smartphone,False,0.47,,Urban,8-12 (Pre-teen),0.0,0
17,Male,2.34,Smartphone,False,0.48,,Rural,13-17 (Teen),2.34,0
16,Male,2.85,Smartphone,False,0.3,,Rural,13-17 (Teen),2.85,0
17,Male,4.29,Laptop,True,0.39,"Poor Sleep, Eye Strain",Rural,13-17 (Teen),4.29,1
12,Male,6.03,TV,True,0.39,"Poor Sleep, Anxiety",Urban,8-12 (Pre-teen),6.03,1
9,Female,1.06,Smartphone,False,0.42,,Urban,8-12 (Pre-teen),1.06,0
11,Male,2.83,Smartphone,False,0.4,,Urban,8-12 (Pre-teen),2.83,0
14,Male,3.92,Smartphone,True,0.47,,Urban,13-17 (Teen),3.92,0
15,Male,4.55,Smartphone,True,0.39,"Poor Sleep, Anxiety",Urban,13-17 (Teen),4.55,1
10,Female,6.86,Smartphone,True,0.56,Poor Sleep,Rural,8-12 (Pre-teen),6.86,1
8,Male,3.47,TV,True,0.41,"Poor Sleep, Obesity Risk",Rural,8-12 (Pre-teen),3.47,1
11,Female,4.61,Tablet,True,0.46,Poor Sleep,Urban,8-12 (Pre-teen),4.61,1
9,Male,0.0,Smartphone,False,0.59,,Rural,8-12 (Pre-teen),0.0,0
15,Male,3.47,Smartphone,True,0.41,,Rural,13-17 (Teen),3.47,0
11,Male,4.31,TV,True,0.42,Poor Sleep,Urban,8-12 (Pre-teen),4.31,1
9,Male,2.3,Smartphone,True,0.45,,Urban,8-12 (Pre-teen),2.3,0
13,Male,4.5,Laptop,True,0.38,,Urban,13-17 (Teen),4.5,0
13,Female,2.65,Laptop,False,0.38,,Rural,13-17 (Teen),2.65,0
17,Male,5.34,Laptop,True,0.43,,Urban,13-17 (Teen),5.34,0
11,Male,3.87,TV,True,0.43,"Poor Sleep, Obesity Risk",Urban,8-12 (Pre-teen),3.87,1
13,Male,5.67,Tablet,True,0.41,"Poor Sleep, Anxiety",Urban,13-17 (Teen),5.67,1
9,Female,3.8,TV,True,0.53,"Poor Sleep, Eye Strain",Rural,8-12 (Pre-teen),3.8,1
17,Male,4.61,TV,True,0.34,"Poor Sleep, Obesity Risk",Rural,13-17 (Teen),4.61,1
9,Male,0.9,Tablet,False,0.6,,Rural,8-12 (Pre-teen),0.9,0
17,Female,3.3,TV,True,0.42,,Urban,13-17 (Teen),3.3,0
11,Male,5.12,TV,True,0.31,Poor Sleep,Urban,8-12 (Pre-teen),5.12,1
15,Female,5.82,TV,True,0.48,Poor Sleep,Urban,13-17 (Teen),5.82,1
14,Female,4.27,Smartphone,True,0.47,"Poor Sleep, Eye Strain",Rural,13-17 (Teen),4.27,1
16,Male,5.79,Smartphone,True,0.35,Poor Sleep,Urban,13-17 (Teen),5.79,1
15,Female,2.69,TV,False,0.32,,Urban,13-17 (Teen),2.69,0
12,Female,3.64,Smartphone,True,0.44,Poor Sleep,Urban,8-12 (Pre-teen),3.64,1
9,Male,4.23,TV,True,0.46,,Urban,8-12 (Pre-teen),4.23,0
