age_group,gender,screen_time_hours,sleep_affected,source
18-29 (Young Adult),F,8.7,1,Adult
30-45 (Adult),M,9.6,1,Adult
30-45 (Adult),F,4.0,1,Adult
30-45 (Adult),F,7.6,0,Adult
30-45 (Adult),F,3.5,0,Adult
30-45 (Adult),F,2.6,1,Adult
18-29 (Young Adult),M,5.4,1,Adult
30-45 (Adult),M,4.5,1,Adult
30-45 (Adult),M,3.9,1,Adult
30-45 (Adult),M,5.7,0,Adult
18-29 (Young Adult),F,7.9,0,Adult
18-29 (Young Adult),M,10.0,1,Adult
30-45 (Adult),M,6.3,1,Adult
18-29 (Young Adult),F,6.5,1,Adult
30-45 (Adult),M,7.0,1,Adult
30-45 (Adult),F,6.2,1,Adult
30-45 (Adult),M,6.3,1,Adult
18-29 (Young Adult),F,6.1,1,Adult
30-45 (Adult),F,4.5,1,Adult
18-29 (Young Adult),F,3.1,0,Adult
18-29 (Young Adult),F,6.3,1,Adult
30-45 (Adult),M,6.7,1,Adult
30-45 (Adult),M,2.7,1,Adult
18-29 (Young Adult),F,7.7,0,Adult
18-29 (Young Adult),M,4.6,1,Adult
18-29 (Young Adult),F,8.2,0,Adult
30-45 (Adult),F,6.3,0,Adult
30-45 (Adult),M,1.2,1,Adult
30-45 (Adult),F,3.1,1,Adult
18-29 (Young Adult),F,3.9,1,Adult
30-45 (Adult),F,2.2,1,Adult
18-29 (Young Adult),F,2.6,0,Adult
30-45 (Adult),M,8.3,1,Adult
30-45 (Adult),F,9.7,1,Adult
18-29 (Young Adult),F,4.7,1,Adult
30-45 (Adult),F,10.0,1,Adult
30-45 (Adult),F,1.3,1,Adult
30-45 (Adult),M,3.7,1,Adult
18-29 (Young Adult),F,7.1,1,Adult
18-29 (Young Adult),F,8.4,0,Adult
18-29 (Young Adult),M,8.3,1,Adult
18-29 (Young Adult),M,9.6,1,Adult
18-29 (Young Adult),M,8.8,1,Adult
18-29 (Young Adult),F,6.7,1,Adult
18-29 (Young Adult),M,6.1,0,Adult
